stratum,id_binyan,gush_helka,street,house_num,street_class,year,footprint_m2,lot_ms_shetach,ms_komot,floors_est,floors_source,floors_est_height,floors_est_dsm,confidence,allowed_floors,rule_id,rule_description,rule_is_extrapolated,gap_floors,gap_m2,net_low,net_high,tier,rights_consumed,rights_consumed_reason,excluded_any,exclusion_reasons,lot_st_taba,permit_last_num,permit_last_date,verified_allowed_floors,verified_gap_m2,verdict_allowed_floors_ok,verdict_gap_within_20pct,notes
A_dizengoff_benyehuda,27565,6956/12,דיזנגוף,276.0,special,1946.0,151.95165278425506,324.38,3.0,3.0,ms_komot,3.37,-0.07,MEDIUM,7,R-EX-SPECIAL-3P,מבנה קיים 3+ קומות על דיזנגוף/בן יהודה: השלמה ל-7 + גג חלקי,False,4.0,706.575185446786,11481846.763510272,22963693.527020544,mixed_use_unconfirmed,none,,True,EXCL_NON_RESIDENTIAL,58                  ,,,,,,,
A_dizengoff_benyehuda,24671,6902/162,דיזנגוף,179.0,special,1933.0,265.874785944812,550.59,5.0,5.0,ms_komot,6.41,7.08,MEDIUM,7,R-EX-SPECIAL-3P,מבנה קיים 3+ קומות על דיזנגוף/בן יהודה: השלמה ל-7 + גג חלקי,False,2.0,704.5681827537518,11449232.969748467,22898465.939496934,mixed_use_unconfirmed,none,,True,EXCL_NON_RESIDENTIAL,58                  ,,,,,,,
A_dizengoff_benyehuda,24339,6902/97,בן יהודה,132.0,special,1931.0,146.15009817515536,308.22,4.0,4.0,ms_komot,0.45,0.17,MEDIUM,7,R-EX-SPECIAL-3P,מבנה קיים 3+ קומות על דיזנגוף/בן יהודה: השלמה ל-7 + גג חלקי,False,3.0,533.4478583393171,8668527.698013904,17337055.396027807,mixed_use_unconfirmed,none,,True,EXCL_NON_RESIDENTIAL,58                  ,,,,,,,
A_dizengoff_benyehuda,23692,6901/123,דיזנגוף,217.0,special,1961.0,146.76568712064466,246.97,4.0,4.0,ms_komot,4.73,3.51,HIGH,7,R-EX-SPECIAL-3P,מבנה קיים 3+ קומות על דיזנגוף/בן יהודה: השלמה ל-7 + גג חלקי,False,3.0,535.694757990353,8705039.817343235,17410079.63468647,mixed_use_unconfirmed,none,,True,EXCL_NON_RESIDENTIAL,58                  ,,,,,,,
A_dizengoff_benyehuda,27583,6956/96,דיזנגוף,238.0,special,2008.0,116.2741656452274,338.97,6.0,6.0,ms_komot,7.1,6.96,HIGH,7,R-EX-SPECIAL-3P,מבנה קיים 3+ קומות על דיזנגוף/בן יהודה: השלמה ל-7 + גג חלקי,False,1.0,191.8523733146252,3117601.0663626594,6235202.132725319,mixed_use_unconfirmed,none,,True,EXCL_NON_RESIDENTIAL,58                  ,,,,,,,
B_side_street_3_4_floors,27588,6957/226,יהושע בן נון,53.0,other,1967.0,222.06710573991137,485.29,4.0,4.0,ms_komot,4.43,4.38,HIGH,5,R-EX-OTHER-3-6,מבנה קיים 3-6 קומות ברחוב רגיל: תוספת קומה אחת + גג חלקי,False,1.0,366.4107244708538,5954174.272651374,11908348.545302749,headline,none,,False,,169                 ,,,,,,,
B_side_street_3_4_floors,24747,6953/47,הפרדס,10.0,other,1954.0,253.05622479587728,504.62,3.0,3.0,ms_komot,3.63,1.53,HIGH,4,R-EX-OTHER-3-6,מבנה קיים 3-6 קומות ברחוב רגיל: תוספת קומה אחת + גג חלקי,False,1.0,417.5427709131975,6785070.027339459,13570140.054678919,headline,none,,False,,58                  ,,,,,,,
B_side_street_3_4_floors,23724,6901/150,פראג,14.0,other,1976.0,236.15667373040023,408.58,4.0,4.0,ms_komot,4.37,4.47,HIGH,5,R-EX-OTHER-3-6,מבנה קיים 3-6 קומות ברחוב רגיל: תוספת קומה אחת + גג חלקי,False,1.0,389.6585116551604,6331950.814396356,12663901.628792712,headline,none,,False,,622                 ,,,,,,,
B_side_street_3_4_floors,23380,6901/146,הלפרין,6.0,other,1971.0,189.22097890977344,342.71,3.0,3.0,ms_komot,2.95,1.98,HIGH,4,R-EX-OTHER-3-6,מבנה קיים 3-6 קומות ברחוב רגיל: תוספת קומה אחת + גג חלקי,False,1.0,312.2146152011262,5073487.497018301,10146974.994036602,headline,none,,False,,58                  ,,,,,,,
B_side_street_3_4_floors,27317,6956/132,פקיעין,4.0,other,1939.0,177.1912197607129,339.64,3.0,3.0,ms_komot,2.97,3.26,HIGH,4,R-EX-OTHER-3-6,מבנה קיים 3-6 קומות ברחוב רגיל: תוספת קומה אחת + גג חלקי,False,1.0,292.36551260517626,4750939.579834114,9501879.159668228,headline,none,,False,,58                  ,0,,,,,,
